CivilParish1930Code,CivilParish1930Name,Census1991CPCode1,Census1991CPCode2,Census1991CPCode3,Census1991CPCode4
409,Inverness and Bona,22006,,,
410,Inverurie,17022,,,
411,Irvine,37006,,,
412,Jedburgh,03011,,,
413,Johnstone,08014,,,
414,Jura,32029,,,
415,Keig,17023,,,
416,Keir,09008,,,
417,Keith,19019,,,
418,Keithhall and Kinkell,17024,,,
419,Kells,10011,,,
420,Kelso,03012,,,
421,Kelton,10012,,,
422,Kemback,14022,,,
423,Kemnay,17025,,,
424,Kenmore,07011,53035,,
425,Kennethmont,17026,,,
426,Kennoway,13004,,,
427,Kettins,53036,,,
428,Kettle,14023,,,
429,Kilbarchan,49005,,,
430,Kilbirnie,37007,,,
431,Kilbrandon and Kilchattan,32009,,,
432,Kilbride,37014,,,
433,Kilcalmonell,32010,,,
434,Kilchoman,32030,,,
435,Kilchrenan and Dalavich,32011,,,
436,Kilconquhar,14024,,,
437,Kildalton,32031,,,
438,Kildonan,27009,,,
439,Kildrummy,17027,,,
440,Kilfinan,32012,,,
441,Kilfinichen and Kilvickeon,32032,,,
442,Killarow and Kilmeny,32033,,,
443,Killean and Kilchenzie,32013,,,
444,Killearn,07012,,,
445,Killearnan,25011,,,
446,Killin,07013,,,
447,Kilmacolm,43003,49010,,
448,Kilmadock,07014,,,
449,Kilmallie,23007,,,
450,Kilmany,14025,,,
451,Kilmarnock,44004,,,
452,Kilmaronock,07022,38005,,
453,Kilmartin,32014,,,
454,Kilmaurs,37008,44005,,
455,Kilmodan,32015,,,
456,Kilmonivaig,23008,,,
457,Kilmorack,22007,,,
458,Kilmore and Kilbride,32016,,,
459,Kilmory,37015,,,
460,Kilmuir,26007,,,
461,Kilmuir Easter,25012,,,
462,Kilninian and Kilmore,32034,,,
463,Kilninver and Kilmelfort,32017,,,
464,Kilrenny,14026,,,
465,Kilspindie,53037,,,
466,Kilsyth,06007,35002,,
467,Kiltarlity and Convinth,22008,,,
468,Kiltearn,25013,,,
469,Kilwinning,37009,,,
470,Kincardine (Stirling),07015,,,
471,Kincardine (Highland),27010,,,
472,Kincardine O'Neil,18019,,,
473,Kinclaven,53038,,,
474,Kinellar,17028,,,
475,Kinfauns,53039,,,
476,King Edward,16014,,,
477,Kingarth,32035,,,
478,Kinghorn,13005,,,
479,Kinglassie,13006,,,
480,Kingoldrum,51023,,,
481,Kingsbarns,14027,,,
482,Kingussie and Insh,20005,,,
483,Kinloch,53040,,,
484,Kinloss,19020,,,
485,Kinnaird,53041,,,
486,Kinneff and Catterline,18020,,,
487,Kinnell,51024,,,
488,Kinnettles,51025,,,
489,Kinnoull,53042,,,
490,Kinross,53043,,,
491,Kintail,26003,,,
492,Kintore,17029,,,
493,Kippen,07016,,,
494,Kirkbean,09009,,,
495,Kirkcaldy and Dysart,13007,,,
496,Kirkcolm,11003,,,
497,Kirkconnel,09010,,,
498,Kirkcowan,11004,,,
499,Kirkcudbright,10013,,,
500,Kirkden,51026,,,
501,Kirkgunzeon,10014,,,
502,Kirkhill,22009,,,
503,Kirkhope,02009,,,
504,Kirkinner,11005,,,
505,Kirkintilloch,35003,50005,,
506,Kirkliston,29006,31004,,
507,Kirkmabreck,11006,,,
508,Kirkmahoe,09011,,,
509,Kirkmaiden,11007,,,
510,Kirkmichael (Dumfries & Galloway),09012,,,
511,Kirkmichael (Moray),19021,,,
512,Kirkmichael (South Ayrshire),45011,,,
513,Kirkmichael (Perth & Kinross),53044,,,
514,Kirknewton,31005,,,
515,Kirkoswald,45012,,,
516,Kirkpatrick Durham,10015,,,
517,Kirkpatrick Irongray,09013,,,
518,Kirkpatrick-Fleming,08015,,,
519,Kirkpatrick-Juxta,08016,,,
520,Kirkurd,04005,,,
521,Kirkwall and St Ola,54008,,,
522,Kirriemuir,51027,,,
523,Knockando,19022,,,
524,Knockbain,25014,,,
525,Lady,54009,,,
526,Ladykirk,01019,,,
527,Laggan,20006,,,
528,Lairg,27011,,,
529,Lamington and Wandel,46013,,,
530,Lanark,46014,,,
531,Langholm,08017,,,
532,Langton,01020,,,
533,Larbert,06008,,,
534,Largo,13008,14028,,
535,Largs,37010,,,
536,Lasswade,30009,,,
537,Latheron,21005,,,
538,Lauder,02010,,,
539,Laurencekirk,18021,,,
540,Legerwood,02011,,,
541,Leochel-Cushnie,17030,,,
542,Lerwick,55005,,,
543,Leslie (Fife),13009,,,
544,Leslie (Aberdeenshire),17031,,,
545,Lesmahagow,46015,,,
546,Leswalt,11008,,,
547,Lethendy,53045,,,
548,Lethnot and Navar,51028,,,
549,Leuchars,14029,,,
550,Libberton,46016,,,
551,Liff and Benvie,52005,,,
552,Lilliesleaf,02012,,,
553,Linlithgow,31006,,,
554,Linton,03013,,,
555,Lintrathen,51029,,,
556,Lismore and Appin,23009,32018,,
557,Little Dunkeld,53046,,,
558,Livingston,31007,,,
559,Lochalsh,26004,,,
560,Lochbroom,25015,,,
561,Lochcarron,25016,,,
562,Lochgoilhead and Kilmorich,32019,,,
563,Lochlee,51030,,,
564,Lochmaben,08018,,,
565,Lochrutton,10016,,,
566,Lochs,56004,,,
567,Lochwinnoch,49006,,,
568,Logie (Stirling),07017,,,
569,Logie (Fife),14030,,,
570,Logie Buchan,17032,,,
571,Logie Easter,25017,,,
572,Logie Pert,51031,,,
573,Logie-Coldstone,18022,,,
574,Logiealmond,53047,,,
575,Logierait,53048,,,
576,Longforgan,52006,,,
577,Longformacus,01021,,,
578,Longside,16015,,,
579,Lonmay,16016,,,
580,Loth,27012,,,
581,Loudoun,44006,,,
582,Lumphanan,18023,,,
583,Lunan,51032,,,
584,Lundie,52007,,,
585,Luss,38006,,,
586,Lyne,04006,,,
587,Madderty,53049,,,
588,Mains and Strathmartine,52008,,,
589,Makerstoun,03014,,,
590,Manor,04007,,,
591,Markinch,13010,,,
592,Marnoch,16017,,,
593,Maryculter,18024,,,
594,Marykirk,18025,,,
595,Maryton,51033,,,
596,Mauchline,36005,,,
597,Maxton,02013,,,
598,Maybole,45013,,,
599,Mearns,40004,,,
600,Meigle,53050,,,
601,Meldrum,17033,,,
602,Melrose,02014,,,
603,Menmuir,51034,,,
604,Mertoun,02015,,,
605,Methlick,17034,,,
606,Methven,53051,,,
607,Mid Calder,31008,,,
608,Middlebie,08019,,,
609,Midmar,17035,,,
610,Minnigaff,11009,,,
611,Minto,03015,,,
612,Mochrum,11010,,,
613,Moffat,08020,,,
614,Moneydie,53052,,,
615,Monifieth,52009,,,
616,Monikie,51035,,,
617,Monimail,14031,,,
618,Monkton and Prestwick,45014,,,
619,Monquhitter,16018,,,
620,Montrose,18029,51036,,
621,Monymusk,17036,,,
622,Monzievaird and Strowan,53053,,,
623,Moonzie,14032,,,
624,Mordington,01022,,,
625,Morebattle,03016,,,
626,Morham,28012,,,
627,Mortlach,19023,,,
628,Morton,09014,,,
629,Morvern,23010,,,
630,Moulin,53054,,,
631,Mouswald,09015,,,
632,Moy and Dalarossie,22010,,,
633,Muckhart,05005,,,
634,Muiravonside,06009,,,
635,Muirkirk,36006,,,
636,Murroes,52010,,,
637,Muthill,53055,,,
638,Nairn,24005,,,
639,Neilston,41008,49007,,
640,Nenthorn,03017,,,
641,Nesting,55006,,,
642,New Abbey,09016,,,
643,New Cumnock,36007,,,
644,New Deer,16019,,,
645,New Kilpatrick,33002,34001,41009,
646,New Luce,11011,,,
647,New Machar,17037,,,
648,New Monkland,06011,35004,47003,
649,Newbattle,30010,,,
650,Newburgh,14033,,,
651,Newburn,14034,,,
652,Newhills,15003,,,
653,Newlands,04008,,,
654,Newton,29009,30011,,
655,Newtyle,51037,,,
656,Nigg (Aberdeen City),15004,,,
657,Nigg (Highland),25018,,,
658,North Berwick,28013,,,
659,North Bute,32036,,,
660,North Knapdale,32020,,,
661,North Uist,56005,,,
662,Northmaven,55007,,,
663,Oathlaw,51038,,,
664,Ochiltree,36008,,,
665,Old Cumnock,36009,,,
666,Old Deer,16020,,,
667,Old Kilpatrick,33004,34002,38007,41014
668,Old Luce,11012,,,
669,Old Machar,15005,,,
670,Old Monkland,41010,47004,50007,
671,Oldhamstocks,01028,28014,,
672,Olrig,21006,,,
673,Ordiquhill,16021,,,
674,Ormiston,28015,,,
675,Orphir,54010,,,
676,Orwell,14041,53056,,
677,Oxnam,03018,,,
678,Oyne,17038,,,
679,Paisley,41011,49008,,
680,Panbride,51039,,,
681,Papa Westray,54011,,,
682,Parton,10017,,,
683,Peebles,04009,,,
684,Pencaitland,28016,,,
685,Penicuik,04015,29007,30012,
686,Penninghame,11013,,,
687,Penpont,09017,,,
688,Perth,53057,,,
689,Peterculter,15006,,,
690,Peterhead,16022,,,
691,Pettinain,46017,,,
692,Petty,22011,,,
693,Pitsligo,16023,,,
694,Pittenweem,14035,,,
695,Polwarth,01023,,,
696,Port Glasgow,43004,,,
697,Port Of Menteith,07018,,,
698,Portmoak,13013,14042,53058,
699,Portpatrick,11014,,,
700,Portree,26008,,,
701,Premnay,17039,,,
702,Prestonkirk,28017,,,
703,Prestonpans,28018,,,
704,Rafford,19024,,,
705,Rathen,16024,,,
706,Ratho,29008,,,
707,Rathven,19025,,,
708,Rattray,53059,,,
709,Rayne,17040,,,
710,Reay,21007,,,
711,Redgorton,53060,,,
712,Renfrew,41012,49009,,
713,Rerrick,10018,,,
714,Rescobie,51040,,,
715,Resolis,25019,,,
716,Rhu,38008,,,
717,Rhynd,53061,,,
718,Rhynie,17041,,,
719,Riccarton,44007,,,
720,Roberton,03019,,,
721,Rogart,27013,,,
722,Rosemarkie,25020,,,
723,Rosneath,38009,,,
724,Rosskeen,25021,,,
725,Rothes,19026,,,
726,Rothesay,32037,,,
727,Rothiemay,19027,,,
728,Rousay and Egilsay,54012,,,
729,Roxburgh,03020,,,
730,Rutherglen,41013,,,
731,Ruthven,51041,,,
732,Ruthwell,09018,,,
733,Saddell and Skipness,32021,,,
734,Saline,05008,12011,,
735,Saltoun,28019,,,
736,Sandsting,55008,,,
737,Sandwick,54014,,,
738,Sanquhar,09019,,,
739,Scone,53064,,,
740,Scoonie,13011,14040,,
741,Selkirk,02017,,,
742,Shapinsay,54015,,,
743,Shotts,31013,47005,48005,
744,Skene,17042,,,
745,Skirling,04010,,,
746,Slains,17043,,,
747,Slamannan,06010,,,
748,Sleat,26009,,,
749,Smailholm,03021,,,
750,Small Isles,23011,,,
751,Snizort,26010,,,
752,Sorbie,11015,,,
753,Sorn,36010,,,
754,South Knapdale,32023,,,
755,South Ronaldsay,54016,,,
756,South Uist,56006,,,
757,Southdean,03022,,,
758,Southend,32022,,,
759,Speymouth,19029,,,
760,Spott,01029,28020,,
761,Sprouston,03023,,,
762,Spynie,19030,,,
763,St Andrews and Deerness,54013,,,
764,St Andrews and St Leonards,14036,,,
765,St Andrews-Lhanbryd,19028,,,
766,St Boswells,02016,,,
767,St Cyrus,18026,51044,,
768,St Fergus,16025,,,
769,St Madoes,53062,,,
770,St Martins,53063,,,
771,St Monance,14037,,,
772,St Mungo,08021,,,
773,St Ninians,07019,,,
774,Stair,36011,,,
775,Stenness,54017,,,
776,Stenton,01030,28021,,
777,Stevenston,37011,,,
778,Stewarton,44008,,,
779,Stichill,03024,,,
780,Stirling,07020,,,
781,Stobo,04011,,,
782,Stonehouse,39007,42006,,
783,Stoneykirk,11016,,,
784,Stornoway,56007,,,
785,Stow,02018,,,
786,Stracathro,51042,,,
787,Strachan,18027,,,
788,Strachur,32024,,,
789,Straiton,36012,45015,,
790,Stranraer,11017,,,
791,Strath,26011,,,
792,Strathblane,07021,33003,50006,
793,Strathdon,17044,,,
794,Strathlachlan,32025,,,
795,Strathmiglo,14038,53069,,
796,Strichen,16026,,,
797,Stromness,54018,,,
798,Stronsay,54019,,,
799,Swinton,01024,,,
800,Symington (South Ayrshire),45016,,,
801,Symington (South Lanarkshire),46018,,,
802,Tain,25022,,,
803,Tannadice,51043,,,
804,Tarbat,25023,,,
805,Tarbolton,45017,,,
806,Tarland,18028,,,
807,Tarves,17045,,,
808,Tealing,52011,,,
809,Temple,30013,,,
810,Terregles,09020,,,
811,Teviothead,03025,,,
812,Thurso,21008,,,
813,Tibbermore,53065,,,
814,Tillicoultry,05006,53068,,
815,Tingwall,55009,,,
816,Tinwald,09021,,,
817,Tiree,32038,,,
818,Tongland,10019,,,
819,Tongue,27014,,,
820,Torosay,32039,,,
821,Torphichen,31009,,,
822,Torryburn,12012,,,
823,Torthorwald,09022,,,
824,Tough,17046,,,
825,Towie,17047,,,
826,Tranent,28022,,,
827,Traquair,04012,,,
828,Trinity Gask,53066,,,
