place,place_EN,place_SCO,coords
http://www.wikidata.org/entity/Q1009829,Tarland,Tarland,Point(-2.8579 57.1291)
http://www.wikidata.org/entity/Q1008921,Tarves,,Point(-2.21667 57.3667)
http://www.wikidata.org/entity/Q7707189,Tewel,,Point(-2.2805 56.9578)
http://www.wikidata.org/entity/Q7726818,The Colony,,Point(-2.502 57.295)
http://www.wikidata.org/entity/Q16869218,Tifty,,Point(-2.3775 57.4554)
http://www.wikidata.org/entity/Q64947533,Tillykerrie,,Point(-2.27915 57.281351)
http://www.wikidata.org/entity/Q64947530,Tillylain,,Point(-2.587957 57.036092)
http://www.wikidata.org/entity/Q65981324,Tillyorn,,Point(-2.661427 57.00786)
http://www.wikidata.org/entity/Q7826068,Tornaveen,,Point(-2.6325 57.1425)
http://www.wikidata.org/entity/Q1009296,Torphins,Torphins,Point(-2.62278 57.105)
http://www.wikidata.org/entity/Q7829854,Towie,Towie,Point(-2.93528 57.2)
http://www.wikidata.org/entity/Q7852183,Tullich,,Point(-3.00583 57.0639)
http://www.wikidata.org/entity/Q7852284,Tullynessle,,Point(-2.73417 57.2647)
http://www.wikidata.org/entity/Q1016738,Turriff,Turra,Point(-2.46114 57.539)
http://www.wikidata.org/entity/Q15621630,Tyrie,,Point(-2.1288 57.6526)
http://www.wikidata.org/entity/Q7877252,Udny Green,,Point(-2.2 57.3281)
http://www.wikidata.org/entity/Q7877253,Udny Station,Widnie,Point(-2.155 57.31)
http://www.wikidata.org/entity/Q65040592,Wartle,,Point(-2.754678 57.128122)
http://www.wikidata.org/entity/Q64732746,Westburn,,Point(-2.090735 57.271836)
http://www.wikidata.org/entity/Q64713237,Wester Beltie,,Point(-2.638388 57.113216)
http://www.wikidata.org/entity/Q1002453,Westhill,,Point(-2.284 57.154)
http://www.wikidata.org/entity/Q7993680,Whinnyfold,Whinnyfauld,Point(-1.86778 57.3892)
http://www.wikidata.org/entity/Q7995759,Whitecairns,,Point(-2.13 57.255)
http://www.wikidata.org/entity/Q1009701,Whitehills,Whitehills,Point(-2.5799 57.6774)
http://www.wikidata.org/entity/Q7996199,Whiterashes,,Point(-2.243 57.302)
http://www.wikidata.org/entity/Q64717160,Woodfield,,Point(-2.804057 57.133853)
http://www.wikidata.org/entity/Q8032720,Woodhead, Aberdeenshire,,Point(-2.35 57.436)
http://www.wikidata.org/entity/Q8059821,Ythanbank,,Point(-2.15973 57.4008)
http://www.wikidata.org/entity/Q8059822,Ythanwells,Ythanwells,Point(-2.61 57.435)
http://www.wikidata.org/entity/Q50875461,Ythsie,,Point(-2.19 57.367)
